ClassId,TR,EN,TR2
212,yarin,tomorrow,yarın
213,yasak,forbidden,yasak
214,yastik,pillow,yastık
215,yatak,bed,yatak
216,yavas,slow,yavaş
217,yemek,eat,yemek
218,yemek_pisirmek,cook,yemek pişirmek
219,yildiz,star,yıldız
220,yok,absent,yok
221,yol,road,yol
222,yorgun,tired,yorgun
223,yumurta,egg,yumurta
224,zaman,time,zaman
225,zor,difficult,zor
